Time,Date,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
16:48:10,19/04/2021,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,0,H,HDB
16:48:10,19/04/2021,K7,,BLK 51 OLD AIRPORT ROAD,1.308894519 103.8860169,98,C,HDB
16:48:10,19/04/2021,L1,,BLK 415-420 LOR LEW LIAN,1.349505832 103.8753546,74,C,HDB
16:48:10,19/04/2021,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,42,C,HDB
16:48:10,19/04/2021,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,50,H,HDB
16:48:10,19/04/2021,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,40,Y,HDB
16:48:10,19/04/2021,M3,,BLK 19 TO 21/23/24/30/32 BALAM RD,1.330680856 103.8857074,55,C,HDB
16:48:10,19/04/2021,M4,,BLK 22/34/36 CIRCUIT RD,1.329022794 103.8876597,276,C,HDB
16:48:10,19/04/2021,P1,,BLK 196 PUNGGOL FIELD,1.399325523 103.907016,222,C,HDB
16:48:10,19/04/2021,P2,,BLK 199 PUNGGOL FIELD,1.400096829 103.9060155,197,C,HDB
16:48:10,19/04/2021,P3,,BLK 101 PUNGGOL FIELD,1.398456837 103.9057745,441,C,HDB
16:48:10,19/04/2021,P4,,BLK 105 EDGEFIELD PLAINS,1.397227162 103.9056229,456,C,HDB
16:48:10,19/04/2021,P5,,BLK 107 PUNGGOL FIELD,1.396877555 103.9076419,345,C,HDB
16:48:10,19/04/2021,P6,,BLK 109 PUNGGOL FIELD,1.395368569 103.9094623,378,C,HDB
16:48:10,19/04/2021,P7,,BLK 119 EDGEFIELD PLAINS,1.395427967 103.9064702,420,C,HDB
16:48:10,19/04/2021,P8,,BLK 126 EDGEDALE PLAINS,1.394228446 103.9109139,288,C,HDB
16:48:10,19/04/2021,P9,,BLK 128 PUNGGOL FIELD WALK,1.392923918 103.9125375,294,C,HDB
16:48:10,19/04/2021,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,0,Y,HDB
16:48:10,19/04/2021,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,0,H,HDB
16:48:10,19/04/2021,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,67,C,HDB
16:48:10,19/04/2021,T1,,BLK 101/108 TAMPINES ST 11,1.347395724 103.9462336,239,C,HDB
16:48:10,19/04/2021,T3,,BLK 109/114 TAMPINES ST 11,1.346598132 103.9474328,129,C,HDB
16:48:10,19/04/2021,T4,,BLK 124/127 TAMPINES STREET 11,1.345420018 103.9498142,156,C,HDB
16:48:10,19/04/2021,T7,,BLK 136/138 TAMPINES ST 11,1.345469697 103.9458054,36,C,HDB
16:48:10,19/04/2021,T8,,BLK 137/139 TAMPINES ST 11,1.346414231 103.9441901,103,C,HDB
16:48:10,19/04/2021,T9,,BLK 140/148 TAMPINES STREET 12,1.347816332 103.9436467,344,C,HDB
16:48:10,19/04/2021,U1,,BLK 101/110 BUKIT BATOK WEST AVE 6,1.348389703 103.7469815,149,C,HDB
16:48:10,19/04/2021,U2,,BLK 111/132 BUKIT BATOK WEST AVE 6,1.349872484 103.7463093,607,C,HDB
