weekdayRate,ppCode,ppName,sunPHRate
$0.60,L0117,LORONG 25/25A GEYLANG OFF STREET,$0.60
$0.60,L0123,LORONG 9/11 GEYLANG OFF STREET,$0.60
$0.60,L0123,LORONG 9/11 GEYLANG OFF STREET,$0.60
$0.60,L0124,LORONG 37 GEYLANG OFF STREET,$0.60
$0.60,L0124,LORONG 37 GEYLANG OFF STREET,$0.60
$0.60,L0125,LORONG 31 GEYLANG OFF STREET,$0.60
$0.60,L0125,LORONG 31 GEYLANG OFF STREET,$0.60
$0.60,M0001,MACKENZIE ROAD ,$0.60
$0.60,M0003,MARNE ROAD  ,$0.60
$1.20,M0006,MCCALLUM STREET ,$0.60
$0.60,M0006,MCCALLUM STREET ,$0.60
$1.20,M0011,MOSQUE STREET ,$0.60
$0.60,M0011,MOSQUE STREET ,$0.60
$0.60,M0015,MOHAMED SULTAN ROAD ,$0.60
$1.20,M0017,MIDDLE ROAD OFF STREET ,$0.60
$0.60,M0017,MIDDLE ROAD OFF STREET ,$0.60
$0.60,M0020,MAUDE ROAD ,$0.60
$1.20,M0026,MANILA STREET ,$0.60
$0.60,M0026,MANILA STREET ,$0.60
$0.60,M0040,MACKENZIE ROAD A OFF STREET,$0.60
$0.60,M0040,MACKENZIE ROAD A OFF STREET,$0.60
$1.20,M0043,MOUNT EMILY ROAD ,$0.60
$0.60,M0043,MOUNT EMILY ROAD ,$0.60
$0.60,M0048,MARTABAN ROAD ,$0.60
$0.60,M0049,MINBU ROAD ,$0.60
$0.60,M0059,MACKENZIE ROAD B OFF STREET,$0.60
$0.60,M0059,MACKENZIE ROAD B OFF STREET,$0.60
$0.60,M0063,MAYNE ROAD ,$0.60
$0.60,M0072,MANDALAY ROAD ,$0.60
$0.60,M0076,MINBU ROAD OFF STREET ,$0.60
$0.60,M0076,MINBU ROAD OFF STREET ,$0.60
$0.60,M0077,MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,$0.60
$0.60,M0078,MARITIME SQUARE D OFF STREET,$0.60
$0.60,M0078,MARITIME SQUARE D OFF STREET,$0.60
$0.60,M0080,MARSHALL ROAD ,$0.60
$1.20,M0084,MARINA VIEW OFF STREET ,$0.60
$0.60,M0084,MARINA VIEW OFF STREET ,$0.60
$0.60,M0084,MARINA VIEW OFF STREET ,$0.60
$0.60,M0085,MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,$0.60
$0.60,M0088,MARGARET DRIVE OFF STREET,$0.60
$0.60,M0088,MARGARET DRIVE OFF STREET,$0.60
$0.60,N0003,NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),$0.60
$1.20,N0006,NEIL ROAD OFF STREET ,$0.60
$0.60,N0006,NEIL ROAD OFF STREET ,$0.60
$0.60,N0006,NEIL ROAD OFF STREET ,$0.60
$1.20,N0010,NIVEN ROAD ,$0.60
$0.60,N0010,NIVEN ROAD ,$0.60
$0.60,N0012,NORTH BRIDGE ROAD MARKET OFF STREET,$0.60
$0.60,N0012,NORTH BRIDGE ROAD MARKET OFF STREET,$0.60
$0.60,N0013,NORTH BRIDGE ROAD OFF  STREET,$0.60
$0.75,N0013,NORTH BRIDGE ROAD OFF  STREET,$0.60
$0.60,N0013,NORTH BRIDGE ROAD OFF  STREET,$0.60
$0.60,N0013,NORTH BRIDGE ROAD OFF  STREET,$0.60
$1.20,N0014,NORTH CANAL ROAD ,$0.60
$0.60,N0014,NORTH CANAL ROAD ,$0.60
$0.60,N0016,NEYTHAL ROAD ,$0.60
$1.20,N0020,NEW MARKET ROAD ,$0.60
$0.60,N0020,NEW MARKET ROAD ,$0.60
$0.60,N0023,NETHERAVON ROAD ,$0.60
$1.20,N0047,NEIL ROAD ,$0.60
$0.60,N0047,NEIL ROAD ,$0.60
$0.60,O0008,OLD AIRPORT ROAD ,$0.60
$0.60,O0010,OUTRAM ROAD ,$0.60
$0.60,O0013,OUTRAM HILL ,$0.60
$0.60,O0027,ONAN ROAD ,$0.60
$0.60,O0028,OUTRAM ROAD OFF STREET ,$0.60
$0.60,O0028,OUTRAM ROAD OFF STREET ,$0.60
$0.60,O0029,ONAN ROAD OFF STREET ,$0.60
$0.60,O0031,ONAN ROAD / JOO CHIAT ROAD OFF STREET,$0.60
$0.60,P0002,PAHANG STREET ,$0.60
$1.20,P0006,PECK SEAH STREET ,$0.60
$0.60,P0006,PECK SEAH STREET ,$0.60
$1.20,P0009,PENANG LANE ,$0.60
$0.60,P0009,PENANG LANE ,$0.60
$0.60,P0010,PERUMAL ROAD ,$0.60
$0.60,P0011,PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),$0.60
$1.20,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,$0.60
$1.50,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,$0.60
$0.60,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,$0.60
